1;Vendedor de tienda
2;Atención a clientes
3;Hoteleria y turismo
4;Promociones / Eventos
5;Cajero
6;Textil (Ropa/ Moda)
7;Decoracion (hogar/ oficinas)
8;Clases particulares o Couching
9;Administracion
10;Animador
11;Marketing / Publicidad
12;Clases Particulares / Educacion / Formacion
13;Comercio
14;Medios (TV/ cine/ radio)
15;Extras de TV
16;Periodismo / Multimedia / Audiovisual
17;Entretenimiento / Cultural / Deportivo
18;Encuestador / Entrevistador
19;Cliente Incognito
20;Cuidado de personas (Baby Sitter / Ancianos / Discapacitados)
21;Comunicacion / RRPP
22;Música / Arte / Cultura
23;Repartiidor / Flyer / Mensajería
24;Modelo / Promotora
25;Idiomas / Traduccion
26;"Internet / Nuevos Medios
"
27;Instituciones / ONGs / Gobierno
28;Documentación / Redacción
29;Mozo / Garzon / Camarero
30;Barman / Barwoman
31;Servicios RRHH / Consultorias
32;Transporte / Chofer
33;"Telecomunicaciones
"
34;Logística / Distribucion
35;Construccion
36;Focus Group
37;Computacion / Hardware / Software
38;Producción
39;Investigación de Mercado
40;Medicina / Salud
41;Asesoria / Auditoria
42;Dibujante
43;Diseño Grafico / Edición / Artes Graficas
44;Estetica (Estilista/ Maquillador(a)/ peluqueria o similar)
45;Informatica / Programacion
46;Inmobiliaria / Corredor o Captador
47;Ingeniería
48;Servicios Financieros
49;Servicios Juridicos / Procurador
50;Energía / Mineria / Medio Ambiente
51;Community Manager y Redes Sociales
52;Servicios Consultoría IT
53;Seguros (captadores)
54;Agricultura / Ganadería / Pesca
55;E-commerce
56;Guardia de Seguridad
57;Electronica / Electricidad
