1;Administracion;;TrabajoPreferente.create(cod:'1', nombre:'Administracion')
2;Agricultura / Ganadería / Pesca;;TrabajoPreferente.create(cod:'2', nombre:'Agricultura / Ganadería / Pesca')
3;Animador;;TrabajoPreferente.create(cod:'3', nombre:'Animador')
4;Asesoria / Auditoria;;TrabajoPreferente.create(cod:'4', nombre:'Asesoria / Auditoria')
5;Atención a clientes;;TrabajoPreferente.create(cod:'5', nombre:'Atención a clientes')
6;Baile / teatro;;TrabajoPreferente.create(cod:'6', nombre:'Baile / teatro')
7;Barman / Barwoman;;TrabajoPreferente.create(cod:'7', nombre:'Barman / Barwoman')
8;Cajero;;TrabajoPreferente.create(cod:'8', nombre:'Cajero')
9;Canto;;TrabajoPreferente.create(cod:'9', nombre:'Canto')
10;Clases Particulares / Educacion / Formacion;;TrabajoPreferente.create(cod:'10', nombre:'Clases Particulares / Educacion / Formacion')
11;Clases particulares o Couching;;TrabajoPreferente.create(cod:'11', nombre:'Clases particulares o Couching')
12;Cliente Incognito;;TrabajoPreferente.create(cod:'12', nombre:'Cliente Incognito')
13;Comercio;;TrabajoPreferente.create(cod:'13', nombre:'Comercio')
14;Community Manager y Redes Sociales;;TrabajoPreferente.create(cod:'14', nombre:'Community Manager y Redes Sociales')
15;Computacion / Hardware / Software;;TrabajoPreferente.create(cod:'15', nombre:'Computacion / Hardware / Software')
16;Comunicacion / RRPP;;TrabajoPreferente.create(cod:'16', nombre:'Comunicacion / RRPP')
17;Construccion;;TrabajoPreferente.create(cod:'17', nombre:'Construccion')
18;Cuidado de personas (Baby Sitter / Ancianos / Discapacitados);;TrabajoPreferente.create(cod:'18', nombre:'Cuidado de personas (Baby Sitter / Ancianos / Discapacitados)')
19;Decoracion (hogar/ oficinas);;TrabajoPreferente.create(cod:'19', nombre:'Decoracion (hogar/ oficinas)')
20;Dibujante;;TrabajoPreferente.create(cod:'20', nombre:'Dibujante')
21;Diseño Grafico / Edición / Artes Graficas;;TrabajoPreferente.create(cod:'21', nombre:'Diseño Grafico / Edición / Artes Graficas')
22;Documentación / Redacción;;TrabajoPreferente.create(cod:'22', nombre:'Documentación / Redacción')
23;E-commerce;;TrabajoPreferente.create(cod:'23', nombre:'E-commerce')
24;Electronica / Electricidad;;TrabajoPreferente.create(cod:'24', nombre:'Electronica / Electricidad')
25;Encuestador / Entrevistador;;TrabajoPreferente.create(cod:'25', nombre:'Encuestador / Entrevistador')
26;Energía / Mineria / Medio Ambiente;;TrabajoPreferente.create(cod:'26', nombre:'Energía / Mineria / Medio Ambiente')
27;Entretenimiento / Cultural / Deportivo;;TrabajoPreferente.create(cod:'27', nombre:'Entretenimiento / Cultural / Deportivo')
28;Estetica (Estilista/ Maquillador(a)/ peluqueria o similar);;TrabajoPreferente.create(cod:'28', nombre:'Estetica (Estilista/ Maquillador(a)/ peluqueria o similar)')
29;Extras de TV;;TrabajoPreferente.create(cod:'29', nombre:'Extras de TV')
30;Focus Group;;TrabajoPreferente.create(cod:'30', nombre:'Focus Group')
31;Guardia de Seguridad;;TrabajoPreferente.create(cod:'31', nombre:'Guardia de Seguridad')
32;Habilidades especiales (Malabarismo /  Acrobacias / Etc);;TrabajoPreferente.create(cod:'32', nombre:'Habilidades especiales (Malabarismo /  Acrobacias / Etc)')
33;Hoteleria y turismo;;TrabajoPreferente.create(cod:'33', nombre:'Hoteleria y turismo')
34;Idiomas / Traduccion;;TrabajoPreferente.create(cod:'34', nombre:'Idiomas / Traduccion')
35;Informatica / Programacion;;TrabajoPreferente.create(cod:'35', nombre:'Informatica / Programacion')
36;Ingeniería;;TrabajoPreferente.create(cod:'36', nombre:'Ingeniería')
37;Inmobiliaria / Corredor o Captador;;TrabajoPreferente.create(cod:'37', nombre:'Inmobiliaria / Corredor o Captador')
38;Instituciones / ONGs / Gobierno;;TrabajoPreferente.create(cod:'38', nombre:'Instituciones / ONGs / Gobierno')
39;Internet / Nuevos Medios;;TrabajoPreferente.create(cod:'39', nombre:'Internet / Nuevos Medios')
40;Investigación de Mercado;;TrabajoPreferente.create(cod:'40', nombre:'Investigación de Mercado')
41;Logística / Distribucion;;TrabajoPreferente.create(cod:'41', nombre:'Logística / Distribucion')
42;Marketing / Publicidad;;TrabajoPreferente.create(cod:'42', nombre:'Marketing / Publicidad')
43;Medicina / Salud;;TrabajoPreferente.create(cod:'43', nombre:'Medicina / Salud')
44;Medios (TV/ cine/ radio);;TrabajoPreferente.create(cod:'44', nombre:'Medios (TV/ cine/ radio)')
45;Modelo / Promotora;;TrabajoPreferente.create(cod:'45', nombre:'Modelo / Promotora')
46;Mozo / Garzon / Camarero;;TrabajoPreferente.create(cod:'46', nombre:'Mozo / Garzon / Camarero')
47;Música / Arte / Cultura;;TrabajoPreferente.create(cod:'47', nombre:'Música / Arte / Cultura')
48;Periodismo / Multimedia / Audiovisual;;TrabajoPreferente.create(cod:'48', nombre:'Periodismo / Multimedia / Audiovisual')
49;Producción;;TrabajoPreferente.create(cod:'49', nombre:'Producción')
50;Promociones / Eventos;;TrabajoPreferente.create(cod:'50', nombre:'Promociones / Eventos')
51;Repartiidor / Flyer / Mensajería;;TrabajoPreferente.create(cod:'51', nombre:'Repartiidor / Flyer / Mensajería')
52;Seguros (captadores);;TrabajoPreferente.create(cod:'52', nombre:'Seguros (captadores)')
53;Servicios Consultoría IT;;TrabajoPreferente.create(cod:'53', nombre:'Servicios Consultoría IT')
54;Servicios Financieros;;TrabajoPreferente.create(cod:'54', nombre:'Servicios Financieros')
55;Servicios Juridicos / Procurador;;TrabajoPreferente.create(cod:'55', nombre:'Servicios Juridicos / Procurador')
56;Servicios RRHH / Consultorias;;TrabajoPreferente.create(cod:'56', nombre:'Servicios RRHH / Consultorias')
57;Telecomunicaciones;;TrabajoPreferente.create(cod:'57', nombre:'Telecomunicaciones')
58;Textil (Ropa/ Moda);;TrabajoPreferente.create(cod:'58', nombre:'Textil (Ropa/ Moda)')
59;Transporte / Chofer;;TrabajoPreferente.create(cod:'59', nombre:'Transporte / Chofer')
60;Vendedor de tienda;;TrabajoPreferente.create(cod:'60', nombre:'Vendedor de tienda')
